Ntriples,CommitTime (ms)
1038,4091
2058,5263
2970,6141
3938,7227
4888,7787
5785,8251
6777,8784
7734,9342
8654,9971
9596,10865
10515,11496
11504,12330
12467,13087
13434,13984
14411,14543
15378,15146
16356,15759
17306,16458
18239,16945
19237,17276
20189,17969
21192,18723
22167,19387
23146,19715
24074,20030
25039,20637
26010,22613
26937,23578
27879,23879
28812,24225
29775,25287
30744,34701
31760,36696
32743,37508
33746,39726
34712,40967
35650,48497
36590,50971
37535,51513
38501,52987
39509,53460
40509,53708
41465,54041
42434,54539
43394,54857
44399,55579
45309,56102
46292,56664
47195,57281
48176,57914
49149,58672
50126,59388
51123,59947
52089,60218
53072,60944
54056,61703
55057,63984
56034,64621
56963,64942
57935,65202
58882,65507
59832,65997
60813,66638
61739,67267
62668,68030
63629,68681
64623,69192
65615,69516
66507,70107
67456,70819
68403,71439
69377,71941
70370,73539
71385,73866
72357,74604
73357,75339
74325,76187
75321,76687
76340,76957
77305,77810
78244,78393
79216,78864
80165,79269
81140,80100
82134,80779
83079,81236
84075,82030
85066,82688
86023,83415
87002,83801
87957,84613
88934,85033
89923,85881
90910,86538
91899,87057
92872,87638
93797,87917
94788,88413
95771,88706
96717,89006
97686,89467
98656,89804
99582,91374
100606,93862
101602,94702
102576,95232
103517,96231
104521,97885
105501,98590
106548,100711
107472,102794
108441,104461
109398,104859
110390,105190
111348,106053
112314,106642
113311,107338
114258,108141
115230,108645
116233,109403
117218,110232
118182,110764
119217,111411
120190,112120
121172,112884
122128,113692
123095,114488
124058,115115
125007,115804
125976,116148
126944,116529
127918,116780
128902,117437
129839,117940
130832,118626
131801,119067
132746,119660
133741,120454
134733,121120
135741,121775
136713,122135
137719,122924
138720,123593
139698,124033
140721,124820
141697,125617
142665,126235
143631,126719
144645,127387
145597,127643
146596,127954
147591,128249
148527,128537
149466,129168
150403,129939
151365,130247
152312,131108
153302,131715
154268,132035
155217,132284
156157,132558
157105,133195
158098,133707
159092,134391
160070,134720
161040,135485
162003,137375
162953,137657
163907,137986
164818,138710
165801,139420
166782,139733
167789,140079
168734,140440
169705,141192
170669,141618
171593,141952
172537,142213
173501,142939
174488,143207
175463,143747
176404,145433
177345,145793
178276,146203
179186,146550
180183,146915
181176,148590
182146,148892
183145,149195
184111,149715
185103,150403
186051,150694
186983,151006
187950,151410
188920,152216
189903,152508
190922,152872
191839,153179
192836,153933
193810,155798
194759,156273
195714,156691
196673,157383
197627,158161
198614,158413
199602,158690
200602,158975
201536,159330
202509,160079
203449,160385
204395,160695
205352,161102
206304,161461
207294,161785
208281,162063
209237,162433
210169,163089
211124,163445
212105,163802
213049,164115
214038,164922
215011,167245
215958,167501
216923,167784
217875,168138
218807,168897
219772,169654
220770,170004
221725,170370
222684,170760
223595,171515
224574,171779
225544,172072
226471,172346
227459,173972
228401,174342
229378,174659
230365,175017
231335,175403
232354,176301
233298,176569
234308,176883
235296,177247
236246,177939
237238,178295
238199,178596
239129,178929
240091,179266
241065,180228
242020,180882
243012,181168
243929,181441
244908,182190
245871,182528
246843,182856
247792,183152
248774,183491
249774,184242
250785,184580
251738,184917
252726,185196
253751,186008
254727,186307
255698,186684
256648,187027
257648,187367
258642,187783
259654,188474
260602,188732
261514,188994
262430,189948
263405,190274
264409,190621
265340,190978
266305,191323
267261,191740
268208,194009
269133,194556
270108,194906
271086,195223
272075,195895
272994,196280
273883,196675
274858,196993
275806,197353
276743,198953
277704,199238
278664,199502
279625,199793
280616,200440
281598,200795
282532,201153
283453,201570
284402,201915
285404,202182
286390,202852
287322,203171
288332,203461
289324,203778
290320,204551
291256,204935
292305,205300
293309,205688
294310,206432
295309,206718
296288,207100
297247,207801
