Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
924,10,12.90,5.05,16,8.70,1.79,16,2.00,0.45,4,1115.90,190.10,2,1111.50,217.73,10,153.20,16.80,10
1870,10,7.40,3.90,16,7.10,2.12,16,1.60,0.49,4,1412.00,293.14,2,1561.60,377.29,10,164.10,32.35,10
2816,10,4.90,0.94,16,6.20,0.87,16,2.20,0.60,4,1368.70,404.16,2,1437.00,260.50,10,237.40,249.43,10
3804,10,9.40,6.15,16,4.70,0.78,16,2.40,1.96,4,1380.10,239.76,2,1489.70,321.45,10,184.00,30.66,10
4767,10,5.90,1.87,16,8.10,5.92,16,1.60,0.49,4,1800.80,388.98,2,1474.70,238.99,10,331.00,390.99,10
5680,10,6.70,2.05,16,4.90,1.22,16,1.70,0.46,4,1637.40,298.80,2,1501.00,391.04,10,189.90,35.98,10
6696,10,6.80,1.17,16,6.00,1.41,16,2.50,0.67,4,1598.50,405.39,2,1887.90,726.01,10,177.10,27.47,10
7684,10,3.80,0.60,16,4.60,0.49,16,1.30,0.46,4,1655.30,465.85,2,1480.40,433.10,10,168.80,17.80,10
8610,10,3.50,1.28,16,4.20,0.87,16,1.70,0.46,4,1909.20,876.07,2,1539.30,185.34,10,338.80,441.13,10
9541,10,6.30,1.10,16,9.10,8.87,16,2.00,0.77,4,1626.20,231.11,2,1785.70,341.56,10,201.60,29.62,10
10550,10,4.40,0.49,16,5.20,1.17,16,1.50,0.50,4,1692.50,403.62,2,1535.00,166.71,10,195.90,26.61,10
11497,10,5.30,1.10,16,5.10,0.83,16,1.60,0.80,4,1601.30,569.58,2,1630.60,471.64,10,174.10,30.08,10
12464,10,4.00,1.00,16,3.70,0.64,16,1.40,0.49,4,1620.20,457.69,2,1618.00,171.00,10,211.70,33.84,10
