Ntriples,CommitTime (ms)
924,6287
1870,8272
2816,10378
3804,12997
4767,16383
5680,20742
6696,25582
7684,30583
8610,35242
9541,40994
10550,48167
11497,55103
12464,61871
13469,71384
14414,78553
15346,85057
16312,93758
17331,103721
18335,114787
19318,124965
20260,135447
21208,146638
22168,159561
23153,172169
24152,185253
25109,198743
26068,211756
27033,226337
28036,241764
28998,257578
29974,273957
30950,291177
31920,312662
32908,334662
33878,357774
34867,379578
35844,399070
36766,420249
37775,443152
38728,465498
39642,486043
40589,509251
41543,533410
42453,554184
43422,576511
44415,599559
45397,623168
46340,647867
47342,673817
48363,701724
49377,729496
50354,757040
51354,785211
52377,814745
53350,843707
54287,871917
55258,902086
56237,932114
57205,962466
58190,994210
59155,1026125
60090,1057123
61047,1090582
62046,1124745
62995,1157309
63924,1189219
64878,1223366
65819,1257706
66807,1294534
67794,1333629
68730,1368826
69682,1406675
70651,1444259
71637,1482797
72601,1522646
73603,1562650
74580,1602885
75534,1641831
76489,1682657
77434,1722215
78435,1764695
79415,1807034
80434,1851519
81369,1892621
82359,1936350
83326,1980430
84293,2024514
85261,2069460
86218,2114093
87181,2159680
88160,2206014
89123,2253770
90098,2302449
91089,2350983
92049,2398377
93015,2447748
94028,2500846
95003,2550579
95972,2601482
96937,2652152
97879,2702438
98819,2753225
99763,2803998
100696,2855885
101659,2909703
102645,2964631
103639,3020517
104613,3075891
105549,3129434
106547,3186888
107455,3240534
108379,3294693
109351,3353776
110316,3411637
111266,3469521
112226,3528442
113196,3588721
114167,3650617
115114,3710358
116106,3773639
117049,3835218
118051,3899134
118977,3959117
119926,4020739
120853,4081384
121797,4144363
122816,4214664
123795,4282566
124763,4349802
125796,4423252
126762,4491700
127738,4560313
128726,4631014
129682,4699199
130606,4766332
131587,4838813
132597,4915416
133536,4983381
134496,5055370
135476,5130148
136432,5202530
137363,5273246
138322,5349296
139263,5422384
140217,5496568
141164,5571612
142155,5648955
143116,5724653
144075,5800401
145048,5879960
146007,5957178
146992,6037568
147997,6119789
148983,6201824
149934,6279554
150897,6360230
151903,6445146
152829,6523225
153794,6605222
154785,6691165
155723,6774018
156705,6858796
157695,6946258
158711,7039722
159710,7128981
160677,7214589
161621,7301053
162575,7388985
163586,7483493
164536,7572246
165502,7663772
166486,7757912
167477,7855304
168417,7946195
169361,8036608
170362,8135536
171313,8230995
172256,8324144
173222,8422717
174223,8529075
175210,8637385
176162,8739426
177165,8855392
178126,8975600
179031,9089137
179972,9218135
180926,9389044
181928,9603207
182934,9781738
183908,9948177
184837,10140342
185828,10434308
186766,10646474
187700,10848178
188684,11049004
189666,11251239
190630,11465831
191543,11667956
192520,11914663
193504,12202709
194438,12436793
195428,12728521
196421,13028244
197379,13374445
198351,13768609
199381,14145134
200339,14501347
201320,14879064
202260,15244165
203265,15654436
204235,16058680
205170,16463837
206130,16884240
207108,17318153
208078,17754992
209042,18198647
210035,18439320
210994,18520623
211938,18602100
212870,18680221
213822,18760111
214825,18844180
215774,18929096
216747,19016405
217730,19106116
218660,19190360
219652,19280663
220635,19370320
221613,19458229
222606,19548148
223536,19632378
224544,19722834
225477,19808866
226534,19905578
227535,19998172
228496,20085287
229477,20175424
230406,20260803
231361,20351675
232301,20439249
233255,20528254
234198,20618644
235164,20707597
236130,20798371
237076,20887561
238035,20980724
239011,21073578
239955,21164050
240903,21254658
241872,21347568
242904,21446961
243839,21537929
244800,21629802
245727,21719448
246683,21811482
247639,21904264
248604,21998758
249571,22095581
250532,22193482
251485,22288946
252474,22392103
253436,22487974
254355,22582969
255355,22685453
256303,22781417
257255,22878727
258180,22990002
259168,23090279
260132,23189735
261081,23286685
262037,23386536
262999,23486168
263951,23583338
264940,23685726
265915,23789001
266908,23893789
267899,23996653
268900,24103493
269888,24209315
270834,24311238
271779,24414690
272784,24523554
273767,24630897
274716,24735966
275681,24843140
276692,24956123
277623,25057932
278592,25165475
279543,25272030
280519,25381626
281489,25490253
282485,25601395
283478,25712455
284418,25818631
285366,25925507
286286,26032819
287178,26136015
288109,26243505
289141,26363118
290136,26478592
291086,26588867
292043,26700076
293003,26812924
293910,26918223
294873,27030769
295860,27147583
296806,27259651
297791,27377541
298742,27491005
299674,27601103
300630,27717078
301607,27835615
302551,27951558
303545,28072570
304515,28190678
305543,28315470
306508,28432352
307519,28557274
308404,28666318
309398,28789280
310340,28906905
311326,29030818
312295,29152148
313203,29265300
314186,29397672
